ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
FB,2015-02-02,76.11,76.14,73.75,74.99,41955258.0,0.0,1.0,76.11,76.14,73.75,74.99,41955258.0
FB,2015-02-03,75.19,75.58,73.86,75.4,26957714.0,0.0,1.0,75.19,75.58,73.86,75.4,26957714.0
FB,2015-02-04,75.09,76.35,75.01,75.63,20277368.0,0.0,1.0,75.09,76.35,75.01,75.63,20277368.0
FB,2015-02-05,75.71,75.98,75.21,75.615,15062573.0,0.0,1.0,75.71,75.98,75.21,75.615,15062573.0
FB,2015-02-06,75.68,75.7,74.25,74.47,21210994.0,0.0,1.0,75.68,75.7,74.25,74.47,21210994.0
FB,2015-02-09,74.05,74.83,73.45,74.44,16194322.0,0.0,1.0,74.05,74.83,73.45,74.44,16194322.0
FB,2015-02-10,74.85,75.34,74.5,75.19,15811344.0,0.0,1.0,74.85,75.34,74.5,75.19,15811344.0
FB,2015-02-11,75.09,76.75,75.03,76.51,20877427.0,0.0,1.0,75.09,76.75,75.03,76.51,20877427.0
FB,2015-02-12,76.86,76.87,75.89,76.23,17234976.0,0.0,1.0,76.86,76.87,75.89,76.23,17234976.0
FB,2015-02-13,76.46,76.48,75.5,75.74,18621860.0,0.0,1.0,76.46,76.48,75.5,75.74,18621860.0
FB,2015-02-17,75.3,76.91,75.08,75.6,25254400.0,0.0,1.0,75.3,76.91,75.08,75.6,25254400.0
FB,2015-02-18,75.94,76.9,75.45,76.71,22426421.0,0.0,1.0,75.94,76.9,75.45,76.71,22426421.0
FB,2015-02-19,76.986,79.84,76.95,79.42,45851177.0,0.0,1.0,76.986,79.84,76.95,79.42,45851177.0
FB,2015-02-20,79.55,80.34,79.2,79.895,36931698.0,0.0,1.0,79.55,80.34,79.2,79.895,36931698.0
FB,2015-02-23,79.96,80.19,78.38,78.84,24139056.0,0.0,1.0,79.96,80.19,78.38,78.84,24139056.0
FB,2015-02-24,78.5,79.48,78.1,78.45,18897133.0,0.0,1.0,78.5,79.48,78.1,78.45,18897133.0
FB,2015-02-25,78.5,80.2,78.5,79.56,25593800.0,0.0,1.0,78.5,80.2,78.5,79.56,25593800.0
FB,2015-02-26,79.88,81.37,79.72,80.41,31111891.0,0.0,1.0,79.88,81.37,79.72,80.41,31111891.0
FB,2015-02-27,80.68,81.23,78.62,78.97,30739197.0,0.0,1.0,80.68,81.23,78.62,78.97,30739197.0
FB,2015-03-02,79.0,79.855,78.52,79.75,21662537.0,0.0,1.0,79.0,79.855,78.52,79.75,21662537.0
FB,2015-03-03,79.61,79.7,78.52,79.6,18634973.0,0.0,1.0,79.61,79.7,78.52,79.6,18634973.0
FB,2015-03-04,79.3,81.15,78.85,80.895,28126686.0,0.0,1.0,79.3,81.15,78.85,80.895,28126686.0
FB,2015-03-05,81.23,81.99,81.05,81.21,27825733.0,0.0,1.0,81.23,81.99,81.05,81.21,27825733.0
FB,2015-03-06,80.9,81.33,79.83,80.005,24488581.0,0.0,1.0,80.9,81.33,79.83,80.005,24488581.0
FB,2015-03-09,79.68,79.91,78.63,79.44,18925097.0,0.0,1.0,79.68,79.91,78.63,79.44,18925097.0
FB,2015-03-10,78.5,79.26,77.55,77.55,23067057.0,0.0,1.0,78.5,79.26,77.55,77.55,23067057.0
FB,2015-03-11,77.8,78.43,77.26,77.57,20215704.0,0.0,1.0,77.8,78.43,77.26,77.57,20215704.0
FB,2015-03-12,78.1,79.05,77.91,78.93,16093319.0,0.0,1.0,78.1,79.05,77.91,78.93,16093319.0
FB,2015-03-13,78.6,79.38,77.68,78.05,18557296.0,0.0,1.0,78.6,79.38,77.68,78.05,18557296.0
FB,2015-03-16,77.96,78.12,77.36,78.07,19305406.0,0.0,1.0,77.96,78.12,77.36,78.07,19305406.0
FB,2015-03-17,78.36,79.78,78.34,79.365,22169969.0,0.0,1.0,78.36,79.78,78.34,79.365,22169969.0
FB,2015-03-18,79.25,81.24,79.17,80.91,36912446.0,0.0,1.0,79.25,81.24,79.17,80.91,36912446.0
